"Gene","X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"EXOSC4","EXOSC4|Q9NPD3",0.113993133986067,18.495429094492,1.04495617086844,0.296375264204061,0.57910166755662,-6.271788424165
"FAIM2","FAIM2|Q9BWQ8",0.254072777403756,22.8579184630323,3.40038444765247,0.00070300168236342,0.00521978749154839,-1.21390139537007
"FAM117B","FAM117B|Q6P1L5",0.123794137461296,20.7866007954378,2.79210324398554,0.00534945622955159,0.0283712232174433,-3.06054360148056
"FAM118B","FAM118B|Q9BPY3",0.0276718901437221,20.7195683270682,0.359524091084523,0.719288780630132,0.941095893599776,-6.84346250013362
"FAM151B","FAM151B|Q6UXP7",-0.129666631377013,17.1884922825547,-0.860752005472163,0.389945210921425,0.669443512391117,-6.06810212682819
"FAM8A1","FAM8A1|Q9UBU6",-0.023236889435843,19.7095405836053,-0.352140186241414,0.72483005547147,0.94418651962731,-6.7530024459541
"FBXL17","FBXL17|Q9UF56",0.0342188397160754,20.0287369443402,0.468869018820401,0.639280125403896,0.86302816929526,-6.79245166822743
"FBXL2","FBXL2|Q9UKC9",-0.133751908720829,19.4198052879874,-1.47931744304568,0.139411152462312,0.397672712532168,-5.82419184416244
"FBXL7","FBXL7|Q9UJT9",0.106519994451535,17.2737687075578,0.673188172048679,0.501228899419192,0.759515220038265,-6.27782195602179
"FGF12","FGF12|P61328",-0.144801224862107,24.5769864463947,-3.90778279865248,0.000100247049174866,0.00110271754092352,0.596368091255854
"FHAD1","FHAD1|B1AJZ9",0.213225974532428,20.3102029837907,0.877958638893706,0.380385770071371,0.664556315948219,-6.18782270708638
"FKBPL","FKBPL|Q9UIM3",0.000317587540230591,17.0147268074631,0.00254449818608268,0.99797060291044,0.99797060291044,-6.72539560172702
"FLNC","FLNC|Q14315",0.287693158328583,24.6779746981977,6.00076511292417,2.86077912269797e-09,8.49651399441298e-08,10.5838261828441
"FRMPD3","FRMPD3|Q5JV73",0.0225071182443628,18.9399076816165,0.207236943546192,0.835876114162309,0.96667428143473,-6.84347524429406
"FRRS1L","FRRS1L|Q9P0K9",-0.00860029652410077,22.6781582656552,-0.21451234500628,0.83019693133509,0.96667428143473,-6.88471781813391
"FURIN","FURIN|P09958",0.0639848726932719,17.6427091251204,0.704439634659154,0.481717657393547,0.744303208966006,-6.03622420940491
"GAB1","GAB1|Q13480",0.299501621229375,22.1940684658458,4.02445353694577,6.19908606519281e-05,0.000800490678853158,1.04699139916166
"GABRA6","GABRA6|Q16445",0.0579774750168944,18.9904839218678,0.17653396033428,0.860373764959777,0.975309191576541,-5.73493953440583
"GALM","GALM|Q96C23",0.195392989130102,22.7257851478822,5.26910012140603,1.72270848565092e-07,4.65131291125748e-06,6.64018739305595
"GALNT11","GALNT11|Q8NCW6",0.0224928825142143,18.6289360647872,0.217404629932606,0.827969682458096,0.96667428143473,-6.67377538628328
"GAS6","GAS6|Q14393",-0.0105965955020473,17.9216391860292,-0.117926360924891,0.90615455573778,0.978856067893137,-6.86080595152027
"GEMIN2","GEMIN2|O14893",0.0785920280096342,17.8092424409718,0.970572074238854,0.332098839638497,0.613546251978548,-6.3019295979914
"GLRX","GLRX|P35754",-0.0845646803955411,24.2182804048677,-2.30177517820821,0.021579173702279,0.0971062816602554,-4.28935589095203
"GNAI1","GNAI1|P63096",-0.0593298299372371,27.0560771804136,-2.30623378780472,0.0213277248433537,0.0971062816602554,-4.27923375687088
"GNAO1","GNAO1|P09471",-0.0262967598779724,29.4239115473672,-1.08444571979718,0.278462396184616,0.570367804598834,-6.32501259194515
"GPRIN3","GPRIN3|Q6ZVF9",-0.0607617213789418,21.3784312217522,-0.826578110499309,0.408698900780695,0.693620420182093,-6.56900899481011
"GRIA4","GRIA4|P48058",-0.128928971167678,23.4789953557712,-4.53649270998937,6.50756941883283e-06,0.000113691065729021,3.17508996145874
"GYPA","GYPA|P02724",0.00559990063273474,17.7316755199918,0.0852618831338095,0.932075488754465,0.981653972198851,-6.81074979115289
"HIVEP2","HIVEP2|P31629",0.113864227905683,18.6072722563139,0.931650924865006,0.351804316156884,0.638046314510932,-6.40302781786807
"HLA-DRB5","HLA-DRB5|Q30154",-0.163669277817913,16.734322387474,-0.34055233847935,0.734276250914431,0.949945264031319,-5.64635943689239
"HLA-G","HLA-G|P17693",0.801197781964635,17.8754838992651,1.24140353277067,0.221269617465176,0.513414659274665,-4.76072455169328
"HYI","HYI|Q5T013",0.190833835100182,22.4848310705989,4.8498087878861,1.45951383938417e-06,2.83826332861416e-05,4.59699233217652
"IFRD2","IFRD2|Q12894",-0.0513729853699481,16.6865939015436,-0.271081912439701,0.787180909545835,0.963145864276608,-5.55422157231078
"IRGQ","IRGQ|Q8WZA9",-0.193828301552525,24.5758936644151,-8.54612946385773,5.52172990827453e-17,8.19976891378768e-15,27.8638726959064
"ISCA2","ISCA2|Q86U28",-0.0570461808717724,22.8281159210939,-1.44458583967447,0.148928007751467,0.413379610300802,-5.87440425723358
"KCNIP1","KCNIP1|Q9NZI2",0.043957308589416,18.6665626497489,0.498913454846929,0.617969676589382,0.853660436963007,-6.7581257504619
"KCNJ10","KCNJ10|P78508",0.207766797352061,21.7526576823643,3.09224772639083,0.00204871262730829,0.0124177071491952,-2.19371739560089
"KCNJ8","KCNJ8|Q15842",0.0757933337436008,16.7568691712494,0.303243516390583,0.762696048811094,0.955783656105042,-5.54240716381686
"KDF1","KDF1|Q8NAX2",0.0718045061802535,16.5814118851507,0.246500319798012,0.80575659590523,0.96667428143473,-5.87335882895483
"KDM4C","KDM4C|Q9H3R0",-0.00299576517537758,19.4036164013765,-0.00887503153154573,0.992939286294221,0.997009223764511,-5.6809834396323
"KIAA1958","KIAA1958|Q8N8K9",0.226929998672256,15.9737304873638,1.50837038340334,0.134077875047178,0.390403224402076,-4.8549094755846
"KIF2A","KIF2A|O00139",-0.0729194921833347,26.332653801439,-3.10629728535606,0.0019548281257425,0.0123528500711814,-2.15102002617842
"KIF5C","KIF5C|O60282",-0.145003231233254,27.1022465886238,-7.13892147544127,1.95993584456743e-12,9.70168243060876e-11,17.6461301228198
"KNOP1","KNOP1|Q1ED39",0.16536737179359,17.1197637580945,0.687436011979954,0.493510266362746,0.751654097998644,-5.55864027682295
"KRT16","KRT16|P08779",-0.016293396178046,18.0249744022359,-0.101091732302834,0.919531457717795,0.978856067893137,-6.50247961269652
"LALBA","LALBA|P00711",-0.1629692866537,14.933932953704,-0.48175927241065,0.634635987240629,0.860670722422223,-5.13377665323159
"LAMTOR3","LAMTOR3|Q9UHA4",0.109759702657325,22.3508236076975,2.17720348881417,0.0297288329112413,0.12263143575887,-4.56433526723523
"LCMT2","LCMT2|O60294",-0.0325507943572347,16.2412511089065,-0.106556822490394,0.915511669987206,0.978856067893137,-5.60151668476635
"LGI3","LGI3|Q8N145",-0.00400523597274471,25.0621476789031,-0.103868095042441,0.917297546965034,0.978856067893137,-6.9021777225093
"LIAS","LIAS|O43766",-0.0725515045855332,20.0076914845109,-1.01424109194554,0.31074477790495,0.58878180938756,-6.39794968348198
"LIN37","LIN37|Q96GY3",-0.128751413109612,17.7196940078467,-1.26308516623453,0.207178912181122,0.496226910627364,-5.82430088289345
"LINGO1","LINGO1|Q96FE5",-0.235511086946403,24.1819103106862,-7.76205017524497,2.30201501363138e-14,1.7092461476213e-12,21.9738389125262
